sign_a,sign_b,pmi_score,co_occurrence_count
99,174,1.140629,3
99,398,1.140629,3
99,329,1.140629,3
72,194,1.138504,6
12,70,1.137153,3
258,342,1.136333,16
197,336,1.13495,7
113,342,1.130687,15
171,387,1.129349,7
70,391,1.12508,7
15,51,1.124383,8
65,389,1.122411,17
98,391,1.119263,9
8,342,1.118186,79
60,123,1.117232,3
87,253,1.114381,4
135,342,1.112765,25
14,59,1.110779,3
59,139,1.110779,3
347,387,1.109265,6
119,342,1.108319,12
336,341,1.103923,7
197,293,1.103035,4
307,402,1.097958,4
86,327,1.097583,3
341,387,1.093835,3
194,387,1.093835,3
230,343,1.091217,5
15,326,1.091217,3
51,150,1.087858,3
97,216,1.082276,4
28,347,1.074499,3
9,342,1.071793,9
48,342,1.068518,132
267,347,1.065161,22
86,97,1.064718,7
176,307,1.064011,14
72,336,1.061836,23
98,293,1.061812,6
17,97,1.061812,4
103,342,1.060297,25
67,150,1.058795,8
171,391,1.058057,13
171,294,1.055055,3
1,98,1.054035,5
342,386,1.053871,8
123,254,1.051143,8
15,284,1.048148,3
53,182,1.048148,3
1,343,1.043911,10
99,192,1.041093,6
54,99,1.041093,6
93,99,1.041093,4
180,245,1.031202,3
292,342,1.031151,7
28,391,1.028695,5
25,402,1.028695,3
99,173,1.019067,13
98,245,1.010738,6
99,387,1.005469,32
53,254,1.004426,5
293,294,1.002106,3
78,342,1.001404,6
330,342,1.001404,6
87,100,1.00021,5
169,293,0.99724,16
67,194,0.996059,8
194,389,0.996059,4
15,98,0.985864,6
98,389,0.985864,6
99,134,0.98451,5
28,169,0.984301,6
139,342,0.982788,11
171,407,0.979106,3
171,252,0.979106,3
72,375,0.978847,4
59,261,0.978328,4
60,162,0.978069,3
230,347,0.974963,3
98,123,0.967485,8
245,307,0.966714,5
15,106,0.965686,3
175,176,0.965001,9
204,342,0.960762,55
59,293,0.955402,23
1,249,0.953747,9
65,327,0.951117,4
8,67,0.948612,14
70,267,0.948491,12
99,201,0.947984,3
99,202,0.947984,3
68,99,0.947984,3
1,197,0.943255,3
53,373,0.941233,3
53,112,0.941233,4
59,127,0.936749,9
193,342,0.93429,18
99,375,0.934178,13
28,249,0.930663,4
176,205,0.924359,5
99,261,0.922449,7
130,176,0.918904,11
98,343,0.918749,7
87,252,0.916442,8
59,87,0.913978,60
17,387,0.913714,4
1,342,0.913456,75
175,211,0.913218,6
211,375,0.913218,5
100,336,0.912558,3
97,169,0.904131,10
343,387,0.90359,8
99,397,0.90359,4
15,176,0.901991,24
228,342,0.901868,4
263,342,0.901868,4
155,249,0.896716,4
99,121,0.895895,17
70,89,0.895492,10
99,211,0.8914,75
294,391,0.889631,4
